Year,"Population, total",GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %)
2001.00,284968955.00,10581821399.00,1.00,37133.24,0.00
2002.00,287625193.00,10936419054.00,1.74,38023.16,0.80
2003.00,290107933.00,11458243878.00,2.86,39496.49,1.98
2004.00,292805298.00,11458243878.00,3.80,41712.80,2.84
2005.00,295516599.00,12213729147.00,3.51,44114.75,2.56
2006.00,298379912.00,13814611414.00,2.85,46298.73,1.87
2007.00,301231207.00,14451858656.00,1.88,47975.97,0.91
2008.00,304093966.00,14712844084.00,-0.14,48382.56,-1.08
2009.00,306771529.00,14448933025.00,-2.54,47099.98,-3.39
2010.00,309321666.00,14992052727.00,2.56,48467.52,1.72
2011.00,311556874.00,15542581104.00,1.55,49886.82,0.82
2012.00,313830990.00,16197007349.00,2.25,51610.61,1.51
2013.00,315993715.00,16784849196.00,1.84,53117.67,1.15
2014.00,318301008.00,17527163695.00,2.53,55064.74,1.78
2015.00,320635163.00,18224704440.00,2.91,56839.38,2.16
2016.00,322941311.00,18714960538.00,1.64,57951.58,0.91
2017.00,324985539.00,19519353692.00,2.37,60062.22,1.73
2018.00,326687501.00,20580159776.00,2.93,62996.47,2.39
2019.00,328239523.00,21433226000.00,2.16,65297.52,1.68
